Image Filename,Center RGB R,Center RGB G,Center RGB B,Mean RGB R,Mean RGB G,Mean RGB B,StdDev RGB R,StdDev RGB G,StdDev RGB B,Mode
20230811.png,31,41,50,31.0,41.0,50.0,0.0,0.0,0.0,1
20230811.png,21,31,40,21.96,31.96,40.96,2.6605262637305422,2.6605262637305422,2.6605262637305422,1
20230811.png,34,41,51,31.88,40.08,49.68,2.4383601046605072,1.0925200226998129,1.5157836257197137,1
20230811.png,40,47,57,39.2,46.2,56.12,1.624807680927192,1.624807680927192,1.7735839421916293,1
20230811.png,36,43,53,35.72,42.72,52.72,0.601331855134916,0.601331855134916,0.601331855134916,1
20230812.png,26,36,48,26.2,36.2,48.2,0.3999999999999999,0.39999999999999986,0.39999999999999986,1
20230812.png,15,32,40,20.8,34.08,44.72,5.003998401278721,1.764539600009022,3.2560098279949945,1
20230812.png,31,38,48,30.2,38.4,48.0,0.9797958971132711,0.4898979485566357,0.0,1
20230812.png,31,41,50,31.0,41.0,50.0,0.0,0.0,0.0,1
20230812.png,35,42,52,35.0,42.0,52.0,0.0,0.0,0.0,1
20230812.png,35,42,52,35.0,42.0,52.0,0.0,0.0,0.0,1
20230812.png,31,42,60,37.64,45.48,59.36,6.052305345899197,2.6399999999999997,4.4889196918635115,1
20230828.png,17,27,39,17.8,27.8,39.8,0.9797958971132711,0.9797958971132711,0.9797958971132714,1
20230828.png,17,27,39,17.0,27.0,39.0,0.0,0.0,0.0,1
20230828.png,20,29,44,20.2,28.4,41.76,0.3999999999999999,1.2,5.132484778350542,1
20230828.png,22,32,44,20.48,30.48,42.48,1.9620397549489155,1.9620397549489155,1.9620397549489157,1
20230828.png,26,36,48,26.0,36.0,48.0,0.0,0.0,0.0,1
20230828.png,32,39,49,31.64,38.64,48.64,0.9329523031752482,0.9329523031752482,0.9329523031752482,1
20230828.png,33,39,65,27.64,33.88,58.44,3.357141641337166,2.818794068391659,4.964514074912065,1
20230913.png,20,30,42,20.0,30.0,42.0,0.0,0.0,0.0,1
20230913.png,20,30,42,19.6,29.6,41.6,0.4898979485566357,0.4898979485566357,0.4898979485566357,1
20230913.png,19,29,41,19.2,29.2,41.2,0.3999999999999999,0.3999999999999999,0.39999999999999986,1
20230913.png,15,27,43,15.4,26.6,42.2,2.870540018881465,1.8547236990991405,0.9797958971132714,1
20230913.png,22,32,44,20.4,31.2,43.32,1.959591794226542,0.979795897113271,1.0087616170334792,1
20230913.png,18,30,44,18.0,30.0,44.0,0.0,0.0,0.0,1
20230926.png,20,32,44,18.96,30.96,42.96,0.9991996797437437,0.9991996797437437,0.9991996797437437,1
20230926.png,18,30,42,18.0,30.0,42.0,0.0,0.0,0.0,1
20230926.png,22,34,46,22.0,34.0,46.0,0.0,0.0,0.0,1
20230926.png,23,35,47,23.16,35.16,47.16,0.7838367176906171,0.783836717690617,0.783836717690617,1
20230926.png,22,34,46,22.0,34.0,46.0,0.0,0.0,0.0,1
20230926.png,22,34,48,22.8,34.8,48.8,0.9797958971132712,0.9797958971132714,0.9797958971132714,1
20230930.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230930.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230930.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230930.png,15,27,39,15.0,27.0,39.0,0.0,0.0,0.0,1
20230930.png,105,93,67,100.2,92.6,65.0,4.4,1.8761663039293714,1.6,0
20230930.png,101,90,62,101.8,90.36,61.92,3.5888716889852716,2.1143320458244013,2.5126878039263056,0
20230930.png,117,113,78,121.4,112.16,78.36,9.903534722511958,5.025375607852611,5.712302512997714,0
20230930.png,125,97,76,117.76,95.2,72.36,3.7124654880550745,2.756809750418044,2.4311314238436386,0
